Student_ID,High_School_Graduation_GPA,Daily_Study_Hours,Weekly_Study_Hours,Field_of_Study,Gender,School_Type,Region,General_Study_Environment,Favorite_Subject,Target_University,Career_Goal,Exam_Stress_Level,OBP_to_be_Added_to_Score,TYT_Score,AYT_Score
42,72.99,4.9,34.1,Equal Weight,Male,Public,Eastern Anatolia,Mixed,History,State University,Data Analyst,4,43.8,299.861,336.703
43,71.17,4.1,20.0,Equal Weight,Male,Public,Central Anatolia,Mixed,Literature,Hacettepe University (State),Software Developer,8,42.7,300.953,278.273
44,79.49,8.3,57.6,Numerical,Male,Public,Mediterranean,Library,Biology,State University,Engineer,10,47.7,298.11,349.402
45,73.39,4.5,29.7,Equal Weight,Male,Private,Central Anatolia,Mixed,History,State University,Doctor,10,44.0,308.673,299.186
46,91.29,8.0,46.3,Equal Weight,Female,Public,Marmara,Library,History,Koc University (Foundation),Teacher,5,54.8,362.944,405.679
47,90.79,9.1,54.6,Numerical,Male,Private,Mediterranean,Cram School,Mathematics,Ankara University (State),Data Analyst,2,54.5,385.236,379.005
48,95.49,6.3,36.6,Equal Weight,Male,Public,Mediterranean,Home,History,Ankara University (State),Physicist,7,57.3,356.65,392.75
49,57.99,2.7,13.4,Numerical,Male,Public,Marmara,Mixed,Mathematics,State University,Data Analyst,2,34.8,269.367,277.706
50,93.68,8.8,61.3,Equal Weight,Female,Private,Central Anatolia,Library,Physics,Foundation University,Engineer,4,56.2,389.474,405.707
51,99.05,7.8,38.7,Equal Weight,Female,Private,Marmara,Library,History,Koc University (Foundation),Physicist,3,59.4,375.297,403.8
52,80.31,6.7,45.8,Equal Weight,Male,Private,Marmara,Mixed,Physics,Foundation University,Data Analyst,10,48.2,330.717,317.032
53,53.85,4.8,23.0,Verbal,Female,Private,Central Anatolia,Home,History,Foundation University,Social Worker,2,32.3,247.566,321.178
54,82.47,7.0,47.6,Foreign Language,Male,Private,Aegean,Mixed,German,Ankara University (State),Artist,7,49.5,355.359,352.481
55,74.02,7.2,49.3,Numerical,Female,Public,Southeastern Anatolia,Home,Chemistry,Hacettepe University (State),Data Analyst,7,44.4,299.25,342.999
56,78.09,6.7,33.4,Numerical,Female,Private,Mediterranean,Home,Physics,Bilkent University (Foundation),Engineer,11,46.9,319.144,337.857
57,61.73,6.7,45.7,Verbal,Female,Private,Marmara,Mixed,History,Foundation University,Psychologist,6,37.0,326.539,325.005
58,59.62,5.3,36.8,Verbal,Female,Public,Central Anatolia,Mixed,Literature,Ankara University (State),Lawyer,9,35.8,277.675,300.298
59,79.93,4.6,30.6,Equal Weight,Female,Public,Aegean,Library,Mathematics,State University,Teacher,9,48.0,323.526,331.67
60,90.53,6.0,28.3,Numerical,Male,Private,Marmara,Mixed,Biology,ITU (State),Data Analyst,4,54.3,373.032,387.455
61,53.33,3.3,14.9,Verbal,Female,Public,Aegean,Home,Literature,State University,Journalist,1,32.0,266.023,281.061
62,76.31,5.1,25.4,Numerical,Female,Public,Central Anatolia,Home,Mathematics,Hacettepe University (State),Data Analyst,9,45.8,305.026,323.095
63,76.18,5.7,39.7,Equal Weight,Male,Public,Black Sea,Library,Biology,State University,Engineer,3,45.7,339.096,330.733
64,88.23,5.5,32.8,Verbal,Female,Public,Aegean,Mixed,Geography,Hacettepe University (State),Social Worker,2,52.9,321.602,368.415
65,70.01,7.0,40.1,Verbal,Female,Private,Marmara,Home,History,Hacettepe University (State),Social Worker,3,42.0,365.655,340.433
66,72.07,7.1,42.6,Foreign Language,Male,Public,Aegean,Home,English,State University,Writer,3,43.2,315.082,324.792
67,53.07,3.5,15.7,Numerical,Male,Private,Marmara,Mixed,Chemistry,METU (State),Data Analyst,1,31.8,293.434,305.582
68,75.41,5.5,32.8,Verbal,Male,Public,Black Sea,Library,Literature,Foundation University,Psychologist,2,45.2,303.599,331.54
69,51.78,2.3,15.2,Verbal,Male,Public,Mediterranean,Library,History,Sabanci University (Foundation),Journalist,4,31.1,221.812,276.913
70,90.29,8.6,51.1,Numerical,Female,Private,Southeastern Anatolia,Cram School,Mathematics,METU (State),Doctor,10,54.2,319.69,361.693
71,99.83,6.9,34.0,Equal Weight,Male,Private,Marmara,Mixed,Mathematics,Foundation University,Software Developer,1,59.9,397.721,434.512
72,77.48,5.3,35.7,Numerical,Male,Public,Central Anatolia,Mixed,Physics,Foundation University,Data Analyst,6,46.5,332.379,339.734
73,84.83,7.8,38.5,Equal Weight,Male,Public,Mediterranean,Cram School,Mathematics,State University,Teacher,11,50.9,352.846,324.971
74,84.99,6.0,28.0,Verbal,Male,Private,Marmara,Library,Literature,State University,Psychologist,8,51.0,337.609,351.605
75,73.61,5.1,35.2,Numerical,Male,Private,Marmara,Mixed,Literature,Bilkent University (Foundation),Physicist,8,44.2,318.61,312.766
76,71.14,7.7,53.9,Numerical,Female,Public,Mediterranean,Home,Chemistry,METU (State),Physicist,9,42.7,328.435,328.586
77,87.35,6.6,44.4,Verbal,Male,Public,Mediterranean,Home,History,State University,Lawyer,1,52.4,343.001,363.634
78,90.3,7.2,49.4,Verbal,Male,Private,Marmara,Library,Geography,METU (State),Psychologist,6,54.2,349.296,401.656
79,65.86,5.2,36.3,Equal Weight,Male,Public,Central Anatolia,Home,Geography,State University,Lawyer,6,39.5,310.839,299.636
80,62.54,6.4,44.5,Equal Weight,Male,Public,Marmara,Home,Literature,State University,Journalist,8,37.5,310.347,303.559
81,86.59,6.2,35.2,Verbal,Male,Private,Marmara,Home,Geography,Foundation University,Teacher,10,52.0,328.531,337.249
82,78.99,8.2,39.8,Verbal,Male,Private,Aegean,Cram School,Geography,Ankara University (State),Psychologist,11,47.4,330.577,356.211
83,87.3,7.1,34.0,Numerical,Male,Private,Marmara,Library,Mathematics,Hacettepe University (State),Physicist,7,52.4,352.557,386.511
84,97.99,9.3,64.6,Verbal,Female,Private,Marmara,Home,History,Bilkent University (Foundation),Journalist,6,58.8,363.936,404.432
85,87.84,6.2,29.2,Equal Weight,Male,Private,Southeastern Anatolia,Home,Literature,METU (State),Data Analyst,7,52.7,327.09,340.469
86,62.73,6.4,44.8,Equal Weight,Male,Public,Marmara,Home,History,Bilkent University (Foundation),Social Worker,7,37.6,339.827,331.72
87,60.88,3.3,19.4,Equal Weight,Male,Public,Southeastern Anatolia,Cram School,Mathematics,Foundation University,Data Analyst,2,36.5,302.611,292.31
88,88.33,5.7,32.7,Equal Weight,Female,Public,Marmara,Cram School,Literature,State University,Social Worker,9,53.0,295.723,339.411
89,62.24,3.4,22.3,Verbal,Female,Public,Mediterranean,Home,Literature,Sabanci University (Foundation),Teacher,10,37.3,257.816,286.681
90,79.42,8.1,55.0,Equal Weight,Male,Public,Aegean,Library,Geography,Foundation University,Journalist,5,47.7,310.929,350.47
91,90.94,5.3,24.7,Verbal,Female,Private,Mediterranean,Cram School,Literature,ITU (State),Social Worker,4,54.6,362.677,363.067
92,74.29,7.0,41.2,Verbal,Male,Public,Central Anatolia,Home,Geography,Bilkent University (Foundation),Lawyer,1,44.6,301.814,362.553
93,56.6,6.1,30.1,Numerical,Male,Public,Eastern Anatolia,Home,Biology,Hacettepe University (State),Engineer,9,34.0,246.275,297.739
94,70.96,3.9,26.0,Numerical,Male,Public,Marmara,Mixed,Physics,Foundation University,Doctor,3,42.6,283.52,303.046
95,91.06,7.0,48.6,Foreign Language,Male,Public,Eastern Anatolia,Mixed,German,Koc University (Foundation),Artist,10,54.6,352.09,322.451
96,62.02,4.3,25.6,Numerical,Female,Private,Mediterranean,Home,Biology,Foundation University,Software Developer,4,37.2,290.829,291.669
97,80.53,5.0,24.7,Numerical,Female,Public,Black Sea,Home,Chemistry,State University,Engineer,9,48.3,317.283,302.099
98,55.46,3.2,14.2,Numerical,Female,Public,Eastern Anatolia,Home,Mathematics,State University,Software Developer,9,33.3,239.228,258.943
99,79.46,5.4,37.5,Numerical,Female,Public,Central Anatolia,Cram School,Chemistry,Ankara University (State),Data Analyst,10,47.7,347.411,305.127
100,81.87,7.0,48.4,Numerical,Female,Public,Marmara,Home,Physics,Bogazici University (State),Physicist,10,49.1,333.444,341.718
101,63.75,6.0,35.9,Numerical,Female,Public,Marmara,Home,Mathematics,State University,Engineer,1,38.2,284.794,327.307
102,69.8,7.1,35.1,Numerical,Female,Public,Eastern Anatolia,Home,Physics,State University,Engineer,9,41.9,273.118,356.371
103,96.31,7.8,53.6,Equal Weight,Female,Private,Marmara,Library,Geography,ITU (State),Physicist,2,57.8,381.683,383.432
104,79.14,4.5,26.3,Equal Weight,Female,Private,Aegean,Mixed,Literature,Bilkent University (Foundation),Psychologist,1,47.5,336.39,343.74
105,86.48,7.1,40.7,Numerical,Female,Public,Aegean,Mixed,Physics,State University,Data Analyst,1,51.9,364.508,365.157
106,67.24,4.8,27.4,Equal Weight,Female,Public,Marmara,Home,Biology,State University,Data Analyst,9,40.3,270.888,279.407
107,95.71,6.6,31.9,Verbal,Male,Private,Eastern Anatolia,Mixed,Literature,METU (State),Lawyer,5,57.4,336.307,355.099
108,54.68,4.5,25.2,Numerical,Male,Private,Marmara,Home,Biology,Foundation University,Engineer,2,32.8,277.355,296.436
109,96.17,9.6,47.5,Equal Weight,Female,Private,Eastern Anatolia,Cram School,Mathematics,State University,Journalist,8,57.7,367.108,392.605
110,71.63,4.9,28.9,Numerical,Female,Public,Eastern Anatolia,Mixed,Mathematics,Foundation University,Physicist,3,43.0,273.2,299.501
111,60.24,2.9,15.8,Foreign Language,Female,Public,Southeastern Anatolia,Home,German,Foundation University,Writer,6,36.1,301.354,292.715
112,76.82,7.9,46.8,Equal Weight,Male,Public,Marmara,Home,Biology,Foundation University,Social Worker,4,46.1,344.358,372.279
113,59.8,6.2,30.2,Numerical,Male,Public,Central Anatolia,Mixed,Chemistry,Bogazici University (State),Physicist,4,35.9,269.688,297.679
114,69.35,6.4,42.9,Numerical,Female,Public,Marmara,Home,History,METU (State),Data Analyst,4,41.6,317.026,312.39
115,84.45,5.6,27.0,Foreign Language,Female,Public,Eastern Anatolia,Home,French,State University,Artist,3,50.7,358.352,343.806
116,77.57,5.7,38.0,Equal Weight,Male,Public,Black Sea,Mixed,Physics,Foundation University,Teacher,3,46.5,322.051,356.634
117,55.53,6.2,43.1,Equal Weight,Male,Private,Central Anatolia,Home,History,State University,Psychologist,8,33.3,282.21,270.817
118,61.12,3.0,19.7,Numerical,Male,Public,Marmara,Home,Chemistry,Bogazici University (State),Data Analyst,2,36.7,296.023,286.55
119,70.4,6.0,29.8,Verbal,Female,Public,Southeastern Anatolia,Mixed,History,Foundation University,Teacher,7,42.2,298.659,305.584
120,96.56,9.1,63.0,Numerical,Male,Private,Central Anatolia,Mixed,History,METU (State),Doctor,7,57.9,380.804,388.997
121,71.12,4.7,26.4,Numerical,Female,Private,Southeastern Anatolia,Mixed,Physics,Bilkent University (Foundation),Physicist,5,42.7,318.016,346.416
122,71.08,6.1,35.7,Foreign Language,Male,Public,Central Anatolia,Home,German,Koc University (Foundation),Teacher,10,42.6,297.656,270.708
123,96.82,9.4,64.0,Equal Weight,Male,Private,Aegean,Home,Mathematics,METU (State),Social Worker,2,58.1,405.348,409.488
124,82.4,8.3,49.7,Verbal,Male,Private,Aegean,Library,Literature,Bogazici University (State),Lawyer,11,49.4,328.691,324.42
125,84.79,8.4,49.2,Equal Weight,Male,Public,Aegean,Cram School,Geography,Bogazici University (State),Journalist,9,50.9,330.649,345.08
126,66.73,7.2,42.7,Verbal,Male,Public,Mediterranean,Home,Physics,State University,Psychologist,6,40.0,284.459,326.66
127,59.47,5.2,35.2,Foreign Language,Male,Public,Marmara,Home,German,Koc University (Foundation),Artist,9,35.7,287.23,302.831
128,74.53,4.1,23.9,Equal Weight,Male,Private,Aegean,Home,Mathematics,Koc University (Foundation),Engineer,1,44.7,329.448,341.303
129,100.0,9.1,62.3,Equal Weight,Male,Private,Marmara,Library,History,Bogazici University (State),Social Worker,9,60.0,364.821,401.233
130,88.99,7.1,49.4,Foreign Language,Male,Public,Black Sea,Mixed,English,Foundation University,Teacher,7,53.4,351.465,366.152
131,54.04,5.6,32.1,Numerical,Female,Public,Central Anatolia,Cram School,Biology,State University,Data Analyst,5,32.4,246.999,293.571
132,97.99,7.8,38.0,Verbal,Male,Private,Black Sea,Library,Geography,Koc University (Foundation),Journalist,9,58.8,355.533,385.721
133,92.95,5.9,33.5,Verbal,Male,Private,Marmara,Cram School,History,METU (State),Social Worker,4,55.8,349.998,355.726
134,55.58,2.6,17.1,Equal Weight,Male,Private,Mediterranean,Home,Mathematics,Bilkent University (Foundation),Teacher,2,33.3,267.553,273.043
135,52.73,5.9,40.0,Verbal,Male,Private,Marmara,Home,History,Koc University (Foundation),Journalist,1,31.6,294.783,342.21
136,74.35,6.5,32.2,Foreign Language,Male,Public,Marmara,Mixed,German,Bogazici University (State),Artist,11,44.6,302.653,332.234
137,61.26,6.1,42.2,Foreign Language,Female,Public,Mediterranean,Home,French,Foundation University,Writer,3,36.8,279.135,311.891
138,67.46,7.1,48.9,Foreign Language,Male,Public,Marmara,Mixed,English,State University,Translator,3,40.5,321.454,318.077
139,70.93,4.2,28.5,Equal Weight,Male,Private,Central Anatolia,Cram School,Geography,Sabanci University (Foundation),Teacher,6,42.6,267.215,320.969
140,51.81,4.7,27.1,Numerical,Male,Private,Aegean,Mixed,Mathematics,Foundation University,Physicist,2,31.1,238.008,302.532
141,94.79,6.9,39.6,Equal Weight,Male,Private,Marmara,Home,Geography,Sabanci University (Foundation),Software Developer,7,56.9,357.709,349.665
142,86.43,6.1,40.8,Numerical,Female,Private,Marmara,Library,Physics,State University,Software Developer,5,51.9,339.526,391.845
143,73.54,4.9,34.0,Foreign Language,Female,Public,Eastern Anatolia,Cram School,German,Foundation University,Teacher,7,44.1,314.816,312.247
144,59.59,5.6,26.1,Numerical,Male,Private,Central Anatolia,Home,Chemistry,Sabanci University (Foundation),Doctor,5,35.8,298.065,321.895
145,53.09,4.4,30.5,Numerical,Female,Public,Central Anatolia,Mixed,Physics,State University,Engineer,1,31.9,238.235,303.749
146,51.63,2.7,16.1,Equal Weight,Male,Private,Central Anatolia,Home,History,Koc University (Foundation),Physicist,7,31.0,235.828,254.606
147,92.86,6.6,44.7,Equal Weight,Female,Private,Aegean,Library,Geography,METU (State),Lawyer,5,55.7,335.426,388.627
148,69.85,7.5,43.0,Equal Weight,Male,Public,Aegean,Mixed,Biology,Bilkent University (Foundation),Doctor,8,41.9,276.829,344.254
149,78.37,7.1,41.7,Equal Weight,Male,Private,Central Anatolia,Home,Geography,Ankara University (State),Physicist,6,47.0,285.375,330.635
150,65.05,5.9,29.0,Foreign Language,Female,Public,Marmara,Home,English,Sabanci University (Foundation),Artist,6,39.0,310.431,290.815
151,99.57,6.9,41.2,Equal Weight,Male,Private,Aegean,Library,Biology,ITU (State),Physicist,9,59.7,359.057,382.272
152,88.73,7.8,37.3,Numerical,Male,Public,Central Anatolia,Library,Physics,State University,Engineer,7,53.2,339.689,367.492
153,53.53,3.7,20.3,Equal Weight,Male,Private,Central Anatolia,Home,History,ITU (State),Doctor,4,32.1,297.168,259.935
154,74.53,4.9,23.6,Equal Weight,Female,Public,Black Sea,Mixed,Mathematics,Foundation University,Lawyer,5,44.7,291.41,334.998
155,52.25,3.1,21.5,Equal Weight,Male,Public,Marmara,Cram School,Literature,Bogazici University (State),Engineer,8,31.4,270.772,258.252
156,91.6,8.4,49.2,Equal Weight,Female,Public,Eastern Anatolia,Cram School,History,Sabanci University (Foundation),Physicist,10,55.0,355.653,346.94
157,72.31,5.8,39.0,Numerical,Female,Public,Central Anatolia,Mixed,Mathematics,State University,Engineer,1,43.4,290.129,341.516
158,50.18,2.5,13.1,Numerical,Male,Private,Eastern Anatolia,Home,Physics,Koc University (Foundation),Physicist,3,30.1,244.723,245.113
159,90.18,6.7,45.4,Verbal,Male,Private,Marmara,Cram School,Literature,Ankara University (State),Lawyer,7,54.1,368.836,354.948
160,60.19,6.8,47.6,Numerical,Male,Private,Southeastern Anatolia,Home,Biology,Foundation University,Data Analyst,11,36.1,302.464,303.452
161,61.14,5.1,24.0,Equal Weight,Female,Public,Central Anatolia,Home,History,Sabanci University (Foundation),Doctor,4,36.7,267.314,285.018
162,63.48,5.2,24.3,Numerical,Male,Public,Central Anatolia,Home,Physics,State University,Engineer,10,38.1,261.82,272.262
163,91.3,8.1,56.7,Numerical,Male,Private,Eastern Anatolia,Home,History,Bilkent University (Foundation),Data Analyst,7,54.8,359.343,350.256
164,71.94,6.1,29.6,Equal Weight,Male,Private,Eastern Anatolia,Home,History,Hacettepe University (State),Lawyer,4,43.2,320.639,340.861
165,92.99,6.8,47.1,Numerical,Female,Private,Black Sea,Library,Chemistry,Ankara University (State),Engineer,10,55.8,373.227,357.898
166,72.77,5.2,35.9,Equal Weight,Female,Public,Marmara,Library,Mathematics,ITU (State),Software Developer,6,43.7,315.104,310.873
167,84.66,6.4,43.2,Numerical,Male,Public,Central Anatolia,Mixed,History,State University,Doctor,7,50.8,341.484,334.777
168,72.47,6.1,29.2,Equal Weight,Female,Public,Eastern Anatolia,Home,History,Hacettepe University (State),Software Developer,4,43.5,289.946,309.663
169,52.0,3.8,25.4,Numerical,Male,Public,Marmara,Mixed,Mathematics,Bogazici University (State),Data Analyst,7,31.2,258.718,267.016
170,83.49,5.6,27.4,Equal Weight,Female,Private,Mediterranean,Home,Mathematics,State University,Social Worker,6,50.1,328.669,327.075
171,81.31,6.5,37.6,Equal Weight,Female,Public,Mediterranean,Home,Mathematics,Hacettepe University (State),Journalist,4,48.8,320.948,363.536
172,59.06,6.0,29.9,Equal Weight,Male,Public,Marmara,Mixed,Mathematics,ITU (State),Teacher,1,35.4,265.414,288.009
173,66.67,5.3,25.4,Equal Weight,Female,Public,Central Anatolia,Home,Literature,Foundation University,Psychologist,9,40.0,279.823,281.339
174,77.64,5.4,32.0,Numerical,Male,Public,Southeastern Anatolia,Home,Chemistry,Bilkent University (Foundation),Engineer,4,46.6,335.71,351.954
175,52.59,3.3,19.6,Equal Weight,Female,Private,Mediterranean,Home,Geography,Ankara University (State),Journalist,2,31.6,269.603,289.768
176,54.94,6.0,29.1,Verbal,Female,Public,Aegean,Home,Geography,Sabanci University (Foundation),Teacher,7,33.0,272.02,261.449
177,91.16,7.3,41.8,Equal Weight,Male,Private,Central Anatolia,Cram School,Mathematics,Hacettepe University (State),Psychologist,5,54.7,380.025,393.615
178,84.58,4.9,23.3,Numerical,Male,Public,Aegean,Mixed,Chemistry,Bilkent University (Foundation),Data Analyst,6,50.7,326.053,327.74
179,65.72,4.7,31.9,Numerical,Male,Public,Mediterranean,Home,Chemistry,State University,Software Developer,10,39.4,272.999,313.167
180,82.68,4.9,28.9,Numerical,Female,Public,Southeastern Anatolia,Mixed,Mathematics,Foundation University,Physicist,2,49.6,323.966,339.49
181,62.9,3.7,18.0,Equal Weight,Male,Private,Aegean,Cram School,Geography,State University,Data Analyst,10,37.7,288.996,267.875
182,77.09,7.5,36.0,Verbal,Male,Public,Eastern Anatolia,Home,Literature,State University,Teacher,3,46.3,310.044,334.645
183,58.17,3.4,20.1,Equal Weight,Male,Public,Aegean,Mixed,History,ITU (State),Social Worker,5,34.9,249.528,291.776
184,58.98,3.5,17.0,Foreign Language,Female,Private,Central Anatolia,Home,French,Hacettepe University (State),Artist,7,35.4,263.536,305.316
185,53.19,3.0,19.1,Verbal,Male,Public,Central Anatolia,Home,History,Foundation University,Psychologist,8,31.9,234.57,262.625
186,52.61,4.1,18.9,Numerical,Male,Public,Central Anatolia,Mixed,Physics,Foundation University,Engineer,2,31.6,271.569,296.443
187,57.98,3.4,22.7,Foreign Language,Female,Public,Eastern Anatolia,Home,Mathematics,Hacettepe University (State),Teacher,2,34.8,274.442,262.558
188,72.9,5.5,25.7,Verbal,Female,Public,Mediterranean,Home,History,State University,Psychologist,3,43.7,282.642,325.681
189,77.52,6.6,45.9,Verbal,Male,Public,Black Sea,Library,Geography,Foundation University,Psychologist,2,46.5,349.144,358.843
190,66.69,6.8,46.1,Equal Weight,Female,Public,Aegean,Home,Geography,Hacettepe University (State),Psychologist,5,40.0,328.223,329.349
191,68.97,6.3,29.7,Foreign Language,Female,Public,Central Anatolia,Mixed,English,Hacettepe University (State),Translator,4,41.4,298.055,304.211
192,60.64,6.8,33.3,Foreign Language,Male,Public,Mediterranean,Mixed,German,Hacettepe University (State),Writer,3,36.4,311.518,319.463
193,80.83,8.3,49.6,Numerical,Female,Public,Central Anatolia,Library,Biology,Bilkent University (Foundation),Doctor,1,48.5,341.484,379.412
194,73.77,7.0,40.5,Verbal,Male,Private,Eastern Anatolia,Mixed,History,Bogazici University (State),Social Worker,4,44.3,307.098,339.563
195,98.59,6.5,31.7,Equal Weight,Male,Private,Marmara,Library,Mathematics,Hacettepe University (State),Psychologist,9,59.2,369.007,371.179
196,60.43,5.8,27.0,Numerical,Male,Public,Central Anatolia,Mixed,Mathematics,State University,Data Analyst,3,36.3,270.378,318.669
197,80.03,7.7,45.8,Verbal,Male,Private,Southeastern Anatolia,Mixed,Physics,Koc University (Foundation),Social Worker,7,48.0,325.316,314.063
198,54.1,3.4,16.0,Verbal,Male,Private,Marmara,Home,Mathematics,Sabanci University (Foundation),Lawyer,2,32.5,302.612,297.626
199,63.9,3.6,16.8,Numerical,Male,Private,Mediterranean,Cram School,Mathematics,Foundation University,Doctor,6,38.3,303.699,290.177
200,95.95,6.5,45.2,Verbal,Male,Public,Eastern Anatolia,Mixed,Geography,State University,Psychologist,9,57.6,331.454,384.278
201,89.71,5.5,31.9,Verbal,Male,Private,Black Sea,Home,Literature,Foundation University,Lawyer,7,53.8,346.883,332.477
202,69.81,5.3,26.3,Numerical,Female,Private,Central Anatolia,Cram School,Mathematics,State University,Physicist,9,41.9,294.153,330.679
203,82.61,8.6,50.7,Numerical,Male,Private,Aegean,Home,History,Bilkent University (Foundation),Software Developer,4,49.6,341.951,362.337
